 THE COEFFICIENT OF F.H.T
   I=0     DELT=0.23       A/DELT=2./PI
   No.               COEFFICIENT
   -75            0.7281412E-08
   -74            0.9166758E-08
   -73            0.1154026E-07
   -72            0.1452833E-07
   -71            0.1829008E-07
   -70            0.2302586E-07
   -69            0.2898781E-07
   -68            0.3649354E-07
   -67            0.4594257E-07
   -66            0.5783838E-07
   -65            0.7281403E-07
   -64            0.9166772E-07
   -63            0.1154024E-06
   -62            0.1452837E-06
   -61            0.1829002E-06
   -60            0.2302595E-06
   -59            0.2898767E-06
   -58            0.3649377E-06
   -57            0.4594221E-06
   -56            0.5783896E-06
   -55            0.7281313E-06
   -54            0.9166916E-06
   -53            0.1154001E-05
   -52            0.1452873E-05
   -51            0.1828945E-05
   -50            0.2302686E-05
   -49            0.2898623E-05
   -48            0.3649604E-05
   -47            0.4593860E-05
   -46            0.5784468E-05
   -45            0.7280406E-05
   -44            0.9168353E-05
   -43            0.1153773E-04
   -42            0.1453234E-04
   -41            0.1828373E-04
   -40            0.2303593E-04
   -39            0.2897186E-04
   -38            0.3651882E-04
   -37            0.4590250E-04
   -36            0.5790190E-04
   -35            0.7271337E-04
   -34            0.9182726E-04
   -33            0.1151495E-03
   -32            0.1456844E-03
   -31            0.1822651E-03
   -30            0.2312661E-03
   -29            0.2882812E-03
   -28            0.3674659E-03
   -27            0.4554144E-03
   -26            0.5847398E-03
   -25            0.7180636E-03
   -24            0.9326413E-03
   -23            0.1128709E-02
   -22            0.1492932E-02
   -21            0.1765404E-02
   -20            0.2403287E-02
   -19            0.2738975E-02
   -18            0.3902219E-02
   -17            0.4192673E-02
   -16            0.6418671E-02
   -15            0.6271997E-02
   -14            0.1076006E-01
   -13            0.9002047E-02
   -12            0.1852519E-01
   -11            0.1190372E-01
   -10            0.3304435E-01
    -9            0.1290350E-01
    -8            0.6157539E-01
    -7            0.5369373E-02
    -6            0.1205205E+00
    -5           -0.2981757E-01
    -4            0.2480157E+00
    -3           -0.1458303E+00
    -2            0.5363243E+00
    -1           -0.4968046E+00
     0            0.1250963E+01
     1           -0.1708419E+01
     2            0.4348244E+01
     3           -0.5624704E+02
     4            0.3705391E+07
     5           -0.1664668E+13
     6            0.9423032E+18
     7           -0.5711656E+24
     8           -0.4090490E+00
     9            0.2565351E+00
    10           -0.1614726E+00
    11            0.1017847E+00
    12           -0.6419728E-01
    13            0.4049958E-01
    14           -0.2555196E-01
    15            0.1612181E-01
    16           -0.1017207E-01
    17            0.6418120E-02
    18           -0.4049554E-02
    19            0.2555094E-02
    20           -0.1612155E-02
    21            0.1017201E-02
    22           -0.6418104E-03
    23            0.4049550E-03
    24           -0.2555093E-03
    25            0.1612155E-03
    26           -0.1017201E-03
    27            0.6418104E-04
    28           -0.4049550E-04
    29            0.2555093E-04
    30           -0.1612155E-04
    31            0.1017201E-04
    32           -0.6418104E-05
    33            0.4049550E-05
    34           -0.2555093E-05
    35            0.1612155E-05
    36           -0.1017201E-05
    37            0.6418104E-06
    38           -0.4049550E-06
    39            0.2555093E-06
    40           -0.1612155E-06
    41            0.1017201E-06
    42           -0.6418104E-07
    43            0.4049550E-07
    44           -0.2555093E-07
    45            0.1612155E-07
    46           -0.1017201E-07
    47            0.6418104E-08
    48           -0.4049550E-08
    49            0.2555093E-08
    50           -0.1612155E-08
    51            0.1017201E-08
    52           -0.6418104E-09
    53            0.4049550E-09
    54           -0.2555093E-09
    55            0.1612155E-09
    56           -0.1017201E-09
    57            0.6418104E-10
    58           -0.4049550E-10
    59            0.2555093E-10
    60           -0.1612155E-10
    61            0.1017201E-10
    62           -0.6418104E-11
    63            0.4049550E-11
    64           -0.2555093E-11
    65            0.1612155E-11
    66           -0.1017201E-11
    67            0.6418104E-12
    68           -0.4049550E-12
    69            0.2555093E-12
    70           -0.1612155E-12
    71            0.1017201E-12
    72           -0.6418104E-13
    73            0.4049550E-13
    74           -0.2555093E-13
    75            0.1612155E-13
    76           -0.1017201E-13
    77            0.6418104E-14
    78           -0.4049550E-14
    79            0.2555093E-14
    80           -0.1612155E-14
    81            0.1017201E-14
    82           -0.6418104E-15
    83            0.4049550E-15
    84           -0.2555093E-15
    85            0.1612155E-15
    86           -0.1017201E-15
    87            0.6418104E-16
    88           -0.4049550E-16
    89            0.2555093E-16
    90           -0.1612155E-16
    91            0.1017201E-16
    92           -0.6418104E-17
    93            0.4049550E-17
    94           -0.2555093E-17
    95            0.1612155E-17
    96           -0.1017201E-17
    97            0.6418104E-18
    98           -0.4049550E-18
    99            0.2555093E-18
   100           -0.1612155E-18
   101            0.1017201E-18
   102           -0.6418104E-19
   103            0.4049550E-19
   104           -0.2555093E-19
   105            0.1612155E-19
   106           -0.1017201E-19
   107            0.6418104E-20
   108           -0.4049550E-20
   109            0.2555093E-20
   110           -0.1612155E-20
   111            0.1017201E-20
   112           -0.6418104E-21
   113            0.4049550E-21
   114           -0.2555093E-21
   115            0.1612155E-21
   116           -0.1017201E-21
   117            0.6418104E-22
   118           -0.4049550E-22
   119            0.2555093E-22
   120           -0.1612155E-22
   121            0.1017201E-22
   122           -0.6418104E-23
   123            0.4049550E-23
   124           -0.2555093E-23
